label;image
rice;"<a title=""safaritravelplus, CC0, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Rice_In_A_Bowl.jpg""><img width=""250"" height=""250"" alt=""Rice In A Bowl"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Rice_In_A_Bowl.jpg/512px-Rice_In_A_Bowl.jpg""></a>"
maize;"<a title=""Forest &amp; Kim Starr, CC BY 3.0 US &lt;https://creativecommons.org/licenses/by/3.0/us/deed.en&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Starr-120606-7054-Zea_mays-ears_for_sale-Laulima_Farm_Kipahulu-Maui_(25026486812).jpg""><img width=""250"" height=""250"" alt=""Starr-120606-7054-Zea mays-ears for sale-Laulima Farm Kipahulu-Maui (25026486812)"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Starr-120606-7054-Zea_mays-ears_for_sale-Laulima_Farm_Kipahulu-Maui_%2825026486812%29.jpg/512px-Starr-120606-7054-Zea_mays-ears_for_sale-Laulima_Farm_Kipahulu-Maui_%2825026486812%29.jpg""></a>"
chickpea ;"<a title=""AlixSaz, CC BY-SA 4.0 &lt;https://creativecommons.org/licenses/by-sa/4.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Ordinary_chickpeas_in_a_ceramic_bowl.jpg""><img width=""250"" height=""250"" alt=""Ordinary chickpeas in a ceramic bowl"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Ordinary_chickpeas_in_a_ceramic_bowl.jpg/512px-Ordinary_chickpeas_in_a_ceramic_bowl.jpg""></a>"
kidneybeans ;"<a title=""Sanjay Acharya, CC BY-SA 3.0 &lt;http://creativecommons.org/licenses/by-sa/3.0/&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Sa_kidneybeans.jpg""><img width=""250"" height = ""250"" alt=""Sa kidneybeans"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Sa_kidneybeans.jpg/512px-Sa_kidneybeans.jpg""></a>"
pigeonpeas ;"<a title=""Forest &amp; Kim Starr, CC BY 3.0 &lt;https://creativecommons.org/licenses/by/3.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Starr_071024-8804_Cajanus_cajan.jpg""><img width=""250"" height=""250"" alt=""Starr 071024-8804 Cajanus cajan"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Starr_071024-8804_Cajanus_cajan.jpg/512px-Starr_071024-8804_Cajanus_cajan.jpg""></a>"
mothbeans;"<a title=""Lalitstar at English Wikipedia, CC BY-SA 3.0 &lt;https://creativecommons.org/licenses/by-sa/3.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Matki.JPG""><img width=""250"" height=""250"" alt=""Matki"" src=""https://upload.wikimedia.org/wikipedia/commons/2/2f/Matki.JPG""></a>"
mungbean ;"<a title=""Sanjay Acharya, CC BY-SA 3.0 &lt;http://creativecommons.org/licenses/by-sa/3.0/&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Sa_green_gram.jpg""><img width=""250"" height=""250"" alt=""Sa green gram"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Sa_green_gram.jpg/512px-Sa_green_gram.jpg""></a>"
blackgram ;"<a title=""Sanjay Acharya, CC BY-SA 3.0 &lt;http://creativecommons.org/licenses/by-sa/3.0/&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Black_gram.jpg""><img width=""250"" height=""250"" alt=""Black gram"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Black_gram.jpg/512px-Black_gram.jpg""></a>"
lentil ;"<a title=""Mostafameraji, CC BY-SA 4.0 &lt;https://creativecommons.org/licenses/by-sa/4.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:%D8%B9%D8%AF%D8%B3.jpg""><img width=""250"" height=""250"" alt=""???"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/%D8%B9%D8%AF%D8%B3.jpg/512px-%D8%B9%D8%AF%D8%B3.jpg""></a>"
pomegranate ;"<a title=""Ivar Leidus, CC BY-SA 4.0 &lt;https://creativecommons.org/licenses/by-sa/4.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Pomegranate_fruit_-_whole_and_piece_with_arils.jpg""><img width=""250"" height=""250"" alt=""Pomegranate fruit - whole and piece with arils"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Pomegranate_fruit_-_whole_and_piece_with_arils.jpg/512px-Pomegranate_fruit_-_whole_and_piece_with_arils.jpg""></a>"
